Id;Namn;Latitud;Longitud;Aktiv
188790;Abisko;68.354122;18.816546;Ja
97280;Adelsö A;59.3582;17.5244;Ja
167710;Arjeplog A;66.0526;17.8434;Ja
159880;Arvidsjaur A;65.5953;19.2682;Ja
92410;Arvika A;59.6747;12.6381;Ja
106070;Avesta;60.1419;16.1747;Ja
84340;Axstål Mo;58.5719;14.5722;Ja
62180;Barkåkra;56.2979;12.8441;Ja
98040;Berga Mo;59.0688;18.1184;Ja
151280;Bjuröklubb A;64.4812;21.5791;Ja
178820;Björkudden;67.3956;18.7156;Ja
92130;Blomskog A;59.2217;12.078;Ja
161940;Boden Mo;65.8151;21.6396;Ja
105260;Borlänge Flygplats;60.4294;15.5079;Ja
72450;Borås;57.7611;12.9493;Ja
102390;Brattmon V;60.75686;12.77226;Ja
106040;Brovallen;60.0991;16.3062;Ja
127130;Brämön A;62.2207;17.7426;Ja
157870;Buresjön A;65.5592;17.86;Ja
123460;Börtnan A;62.7557;13.8456;Ja
94390;Daglösen A;59.6616;14.1831;Ja
116490;Delsbo A;61.8271;16.5418;Ja
123060;Dravagen A;62.0943;13.6115;Ja
115220;Edsbyn A;61.3613;15.717500000000001;Ja
62530;Eftra-Broen V;56.86254;12.6628;Ja
107440;Eggegrund A;60.7304;17.5612;Ja
97370;Enköping Mo;59.6557;17.1121;Ja
82350;Erikstad-Bergarud V;58.60033;12.41302;Ja
96190;Eskilstuna A;59.3832;16.4549;Ja
181970;Esrange;67.89110000000001;21.084600000000002;Ja
52230;Falsterbo;55.3836;12.8203;Ja
52240;Falsterbo A;55.3838;12.819;Ja
105370;Falun-Lugnet;60.619;15.6603;Ja
107140;Film A;60.2363;17.9078;Ja
122430;Flatruet V;62.72909;12.7264;Ja
96040;Floda A;59.0561;16.3975;Ja
137080;Forse;63.1466;17.0262;Ja
148040;Fredrika A;64.0753;18.3656;Ja
104090;Fredriksberg;60.1418;14.2145;Ja
134110;Frösön;63.1974;14.4863;Ja
78550;Fårösund Ar A;57.9167;18.9568;Ja
134410;Föllinge A;63.677;14.6079;Ja
155790;Gielas A;65.328;15.0686;Ja
76420;Gladhammar A;57.7071;16.4585;Ja
159770;Glommersträsk;65.278;19.6673;Ja
89230;Gotska Sandön A;58.3943;19.1975;Ja
145130;Gubbhögen A;64.2182;15.5561;Ja
147560;Gunnarn A;65.0106;17.7034;Ja
103100;Gustavsfors A;60.1538;13.8019;Ja
144310;Gäddede A;64.5057;14.2238;Ja
180760;Gällivare A;67.1421;20.6455;Ja
107420;Gävle A;60.7166;17.1641;Ja
84520;Gårdsjö A;58.8772;14.3903;Ja
71420;Göteborg A;57.71567;11.9925;Ja
74180;Hagshult Mo;57.2926;14.1399;Ja
62260;Hallands Väderö A;56.4495;12.547;Ja
135460;Hallhåxåsen A;63.7695;15.331;Ja
62400;Halmstad;56.6737;12.9242;Ja
114410;Hamra A;61.6606;14.9948;Ja
64020;Hanö A;56.0131;14.8488;Ja
163960;Haparanda A;65.8249;24.1162;Ja
87140;Harstena A;58.2505;17.0106;Ja
123340;Hedeviken;62.4112;13.6748;Ja
62040;Helsingborg A;56.0304;12.7653;Ja
155970;Hemavan Flygplats;65.8077;15.0854;Ja
155960;Hemavan-Gierevarto A;65.7832;15.0645;Ja
138390;Hemling A;63.6513;18.5502;Ja
68560;Hoburg A;56.9213;18.1541;Ja
140460;Holmön A;63.8082;20.8692;Ja
75520;Horn A;57.8863;15.8652;Ja
146050;Hoting A;64.0885;16.2388;Ja
81370;Hud V;58.66076;11.41775;Ja
117440;Hudiksvall;61.7167;17.086000000000002;Ja
125440;Hunge A;62.7512;15.0876;Ja
62250;Hunnestorp V;56.40404;12.94361;Ja
83190;Hällum A;58.3221;13.0406;Ja
127380;Härnösand;62.628;17.9471;Ja
85180;Härsnäs;58.2886;15.237;Ja
63160;Hästveda Mo;56.2799;13.9432;Ja
53530;Hörby A;55.8633;13.6689;Ja
112540;Idre Fjäll A;61.8892;12.8542;Ja
170860;Jokkmokk Flygplats Mo;66.499;20.131;Ja
136410;Junsele A;63.6849;16.9531;Ja
166810;Jäckvik;66.3881;16.9763;Ja
139260;Järnäsklubb A;63.4359;19.6768;Ja
74460;Jönköpings Flygplats;57.7514;14.0733;Ja
66420;Kalmar Flygplats;56.6784;16.2922;Ja
192840;Karesuando A;68.4432;22.4488;Ja
84310;Karlsborg Mo;58.514;14.5102;Ja
64130;Karlshamn;56.1813;14.8517;Ja
65090;Karlskrona-Söderstjerna Mo;56.1498;15.5921;Ja
93220;Karlstad Flygplats;59.4446;13.3374;Ja
188820;Katterjåkk;68.4218;18.1698;Ja
188850;Katterjåkk A;68.4217;18.1719;Ja
106160;Kerstinbo A;60.2688;16.977;Ja
85460;Kettstaka A;58.7165;15.03;Ja
94190;Kilsbergen-Suttarboda A;59.3;14.8986;Ja
180940;Kiruna Flygplats;67.827;20.3387;Ja
95540;Kloten A;59.8709;15.2553;Ja
124300;Klövsjöhöjden A;62.4961;14.1571;Ja
86420;Kolmården-Strömsfors A;58.6894;16.3103;Ja
133500;Korsvattnet A;63.8395;13.5037;Ja
65510;Kosta Mo;56.8403;15.47;Ja
64030;Kristianstad;56.0133;14.2896;Ja
54990;Kristianstad V;56.02391;14.10272;Ja
94180;Kristinehamn;59.3107;14.1019;Ja
82360;Kroppefjäll-Granan A;58.6068;12.1999;Ja
136090;Krångede A;63.1521;16.1733;Ja
117430;Kuggören A;61.7033;17.525;Ja
85390;Kvarn Mo;58.6277;15.4372;Ja
167990;Kvikkjokk-Årrenjarka A;66.8888;18.0234;Ja
83040;Kymbo V;58.0794;13.78495;Ja
72140;Källsjö;57.2323;12.7042;Ja
71510;Kärna;57.8402777777778;11.8086111111111;Ja
171790;Lakaträsk A;66.2801;21.133;Ja
87440;Landsort A;58.7433;17.8716;Ja
72420;Landvetter Flygplats;57.6764;12.2919;Ja
180770;Latnivaara A;67.2564;20.2747;Ja
105450;Leksand;60.7256;15.0167;Ja
63510;Ljungby A;56.8526;13.8822;Ja
122330;Ljusnedal;62.5493;12.6043;Ja
162860;Luleå Flygplats;65.5434;22.1193;Ja
162870;Luleå-Bergnäset;65.5762;22.109;Ja
53430;Lund;55.693;13.229;Ja
128390;Lungö A;62.643100000000004;18.0929;Ja
148330;Lycksele A;64.5492;18.7169;Ja
85050;Malexander A;58.0718;15.2359;Ja
85240;Malmslätt;58.4004;15.5327;Ja
52350;Malmö A;55.5714;13.0734;Ja
103420;Malung A;60.6773;13.71;Ja
158750;Malå;65.1808;18.7431;Ja
158740;Malå-Brännan A;65.1522;18.5974;Ja
63280;Markaryd;56.4595;13.6191;Ja
172920;Markusvinsa;66.7265;22.9001;Ja
166910;Mierkenis A;66.6815;16.1088;Ja
104580;Mora A;60.9607;14.507;Ja
78320;Mästerby;57.47303;18.27391;Ja
75250;Målilla A;57.3848;15.8037;Ja
81050;Måseskär A;58.094;11.3333;Ja
191910;Naimakka A;68.6777;21.5274;Ja
170930;Nattavaara A;66.7529;20.9281;Ja
83420;Naven A;58.6998;13.1109;Ja
71190;Nidingen A;57.304;11.906400000000001;Ja
179960;Nikkaluokta A;67.8542;19.0253;Ja
134090;Norderön;63.1618;14.3692;Ja
81540;Nordkoster A;58.8925;11.0062;Ja
86340;Norrköping-SMHI;58.58283;16.147;Ja
149560;Norsjö A;64.9263;19.3782;Ja
63220;Osby;56.3742;13.9376;Ja
76160;Oskarshamn;57.2674;16.4149;Ja
172940;Paharova A;66.8107;22.336;Ja
183750;Pajala A;67.2049;23.3952;Ja
182910;Parkalompolo A;67.7315;22.8266;Ja
149340;Petisträsk A;64.5669;19.6983;Ja
161710;Pite-Rönnskär A;65.035;21.5655;Ja
161790;Piteå;65.2636;21.4776;Ja
189720;Rensjön A;68.0745;19.8392;Ja
177930;Ritsem A;67.7262;17.4711;Ja
78290;Roma V;57.54361;18.42533;Ja
65160;Ronneby-Bredåkra;56.2619;15.2742;Ja
53180;Rynge V;55.47411;13.66833;Ja
73480;Rångedala A;57.7848;13.1668;Ja
162790;Rödkallen A;65.3131;22.3753;Ja
81040;Rörastrand;58.0582;11.6528;Ja
182810;Saittarova A;67.3376;22.2334;Ja
96560;Sala A;59.9098;16.6875;Ja
139120;Skagsudde A;63.1886;19.0202;Ja
83270;Skara;58.4072;13.4407;Ja
98160;Skarpö A;59.3455;18.74058;Ja
151380;Skellefteå Flygplats;64.62440000000001;21.0717;Ja
54290;Skillinge A;55.4889;14.3172;Ja
83230;Skövde;58.3949;13.8436;Ja
157860;Sorsele;65.5354;17.5225;Ja
154730;Stekenjokk A;65.0942;14.5085;Ja
98210;Stockholm;59.342;18.0575;Ja
98230;Stockholm A;59.3421;18.0577;Ja
97400;Stockholm-Arlanda;59.6269;17.9545;Ja
97200;Stockholm-Bromma;59.3537;17.9513;Ja
178860;Stora Sjöfallet A;67.4964;18.2943;Ja
105220;Stora Spånsberget A;60.3822;15.1404;Ja
132170;Storlien-Storvallen A;63.2831;12.1246;Ja
163900;Storön A;65.6982;23.1005;Ja
53300;Sturup;55.5231;13.3787;Ja
94580;Ställdalen;59.9391;14.891;Ja
127310;Sundsvalls Flygplats;62.5246;17.441;Ja
93520;Sunne A;59.8644;13.1193;Ja
98490;Svanberga A;59.8321;18.6348;Ja
124030;Sveg A;62.0471;14.41;Ja
99270;Svenska Högarna;59.4445;19.5059;Ja
99280;Svenska Högarna A;59.4428;19.5058;Ja
132030;Sylarna A;63.0447;12.2775;Ja
113420;Särna A;61.6912;13.1865;Ja
82260;Såtenäs;58.4358;12.7075;Ja
99450;Söderarm A;59.7538;19.4089;Ja
97120;Södertälje;59.21421;17.62894;Ja
178970;Tarfala A;67.9113;18.6068;Ja
64320;Tingsryd-Degerhaga;56.5376;14.9019;Ja
169790;Tjåkaape Mo;66.3002;19.2;Ja
74300;Tomtabacken A;57.4983;14.4672;Ja
126290;Torpshammar A;62.4943;16.2774;Ja
63590;Torup A;56.9496;13.0625;Ja
97100;Tullinge A;59.1789;17.9125;Ja
122260;Tännäs A;62.4502;12.6702;Ja
72090;Ullared A;57.1136;12.7758;Ja
73470;Ulricehamn;57.8052;13.4083;Ja
140480;Umeå Flygplats;63.794700000000006;20.291800000000002;Ja
97510;Uppsala Aut;59.8586;17.6253;Ja
97530;Uppsala Flygplats;59.8953;17.5935;Ja
55570;Utklippan A;55.9557;15.7077;Ja
160970;Vidsel Mo;65.8769;20.1543;Ja
146350;Vilhelmina A;64.5809;16.8421;Ja
149120;Vindeln-Sunnansjönäs;64.1386;19.7618;Ja
71380;Vinga A;57.6324;11.6077;Ja
78400;Visby Flygplats;57.6614;18.3428;Ja
84050;Visingsö A;58.0951;14.4086;Ja
181900;Vittangi;67.6943;21.6335;Ja
81350;Väderöarna A;58.5763;11.0685;Ja
96350;Västerås;59.5977;16.6034;Ja
138070;Västmarkum A;63.1251;18.2555;Ja
64510;Växjö A;56.8464;14.8324;Ja
173900;Ylinenjärvi A;66.6235;23.468;Ja
124110;Ytterhogdal;62.182500000000005;14.950800000000001;Ja
114140;Älvdalen A;61.2542;14.0383;Ja
161910;Älvsbyn A;65.6702;21.0662;Ja
106570;Åmot A;60.962;16.4311;Ja
133250;Åre-Björnänge V;63.37375;13.16067;Ja
82090;Åsbräcka-Torpabron V;58.19969;12.15406;Ja
147090;Åsele A;64.1661;17.3188;Ja
77210;Ölands Norra Udde A;57.3672;17.0986;Ja
66110;Ölands Södra Udde A;56.1977;16.4036;Ja
66400;Ölandsbron V;56.66694;16.4609;Ja
95130;Örebro Flygplats;59.2289;15.0455;Ja
138240;Örnsköldsviks Flygplats;63.4119;18.9797;Ja
108320;Örskär A;60.5262;18.3766;Ja
